,DoY,Hour,Tair,Rg,GPP_uStar_f,PAR,GPP_Sim,LAI_Sim
35491,10.0,9.5,-3.8209,86.72,0.24105,178.43621399176956,3.564048184337791,0.0054
35492,10.0,10.0,-4.1148,101.52,0.22624,208.88888888888889,4.172303640151897,0.0054
35493,10.0,10.5,-3.8158,150.88,0.14575,310.4526748971193,6.20091778197516,0.0054
35494,10.0,11.0,-3.6903,134.08,0.35489,275.8847736625515,5.510465642942932,0.0054
35495,10.0,11.5,-3.5706,144.03,0.36052,296.358024691358,5.919394141953091,0.0054
35496,10.0,12.0,-3.4818,220.23,0.32849,453.14814814814815,9.051087772563557,0.0054
35497,10.0,12.5,-3.4463,207.31,0.2577,426.56378600823047,8.520097198974486,0.0054
35498,10.0,13.0,-3.2388,321.0,0.29015,660.4938271604939,13.19256765650866,0.0054
35499,10.0,13.5,-2.8897,363.16,0.1315,747.2427983539095,14.92527373874668,0.0054
35500,10.0,14.0,-2.7574,312.89,-0.63068,643.8065843621399,12.859260106059171,0.0054
35501,10.0,14.5,-2.8179,241.45,0.1392,496.81069958847735,9.923194581507836,0.0054
35502,10.0,15.0,-3.1131,181.12,0.31822,372.6748971193416,7.443731632233173,0.0054
35503,10.0,15.5,-3.8197,77.48,0.084368,159.4238683127572,3.184299507870065,0.0054
35504,10.0,16.0,-4.3871,21.42,-0.23924,44.074074074074076,0.8803264772660918,0.0054
35535,11.0,7.5,-11.0472,50.72,-0.28719,104.36213991769547,2.0845078864115862,0.0054
35536,11.0,8.0,-11.1736,103.38,-0.58232,212.71604938271605,4.248746555544751,0.0054
35537,11.0,8.5,-11.207,198.14,-0.50565,407.6954732510288,8.143225406419393,0.0054
35538,11.0,9.0,-10.9743,272.81,0.14992,561.3374485596707,11.212038574367996,0.0054
35539,11.0,9.5,-10.5738,314.08,-1.3166,646.2551440329217,12.908167132573952,0.0054
35540,11.0,10.0,-10.2753,405.4,-4.0053,834.156378600823,16.661267688313426,0.0054
35541,11.0,10.5,-10.1538,443.89,-4.0007,913.3539094650206,18.243142856846195,0.0054
35542,11.0,11.0,-10.2029,476.31,-0.5582600000000001,980.0617283950618,19.57555109181196,0.0054
35543,11.0,11.5,-9.6768,498.22,1.0877,1025.1440329218108,20.47601575646649,0.0054
35544,11.0,12.0,-9.491,504.2,0.9841,1037.4485596707818,20.721783839288676,0.0054
35545,11.0,12.5,-9.1898,482.17,-0.91991,992.1193415637861,19.81638737364106,0.0054
35546,11.0,13.0,-8.9402,402.88,-0.73921,828.9711934156379,16.557699867458595,0.0054
35547,11.0,13.5,-8.7356,403.58,-0.5717,830.4115226337449,16.586468706584935,0.0054
